name,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Mahindra Scorpio S11 BSIV,2018,35000,Diesel,Individual,Manual,First Owner,1500000
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,110000,Diesel,Individual,Automatic,First Owner,1800000
Mahindra XUV500 W6 2WD,2014,80000,Diesel,Individual,Manual,Second Owner,600000
Tata Tiago 1.2 Revotron XT,2018,80000,Petrol,Individual,Manual,First Owner,420000
Maruti Zen Estilo LXI BS IV,2009,120000,Petrol,Individual,Manual,First Owner,140000
Skoda Laura Ambiente 2.0 TDI CR MT,2010,100000,Diesel,Individual,Manual,Second Owner,300000
Hyundai Santro Xing XL eRLX Euro III,2006,60000,Petrol,Dealer,Manual,Second Owner,100000
Maruti Alto K10 VXI,2017,25000,Petrol,Dealer,Manual,First Owner,350000
Ford EcoSport 1.5 Ti VCT MT Titanium BE BSIV,2018,19000,Petrol,Dealer,Manual,First Owner,850000
Maruti Alto LX,2008,54000,Petrol,Dealer,Manual,First Owner,140000
Ford Aspire Titanium Plus BSIV,2015,17100,Petrol,Dealer,Manual,Second Owner,550000
Hyundai Grand i10 Asta Option AT,2017,19000,Petrol,Dealer,Automatic,First Owner,525000
Ford Ecosport 1.5 DV5 MT Titanium,2015,146000,Diesel,Dealer,Manual,First Owner,470000
Ford Endeavour 3.0L 4X4 AT,2013,98000,Diesel,Dealer,Automatic,First Owner,900000
Ford Endeavour 2.5L 4X2,2011,224642,Diesel,Dealer,Manual,Second Owner,500000
Maruti Zen LXI,1998,120000,Petrol,Individual,Manual,Second Owner,80000
Mahindra Verito 1.5 D2 BSIII,2011,175000,Diesel,Individual,Manual,First Owner,175000
Mahindra XUV500 AT W10 AWD,2017,15000,Diesel,Individual,Automatic,Second Owner,1350000
Renault Duster 110PS Diesel RxZ,2017,50000,Diesel,Individual,Manual,First Owner,800000
Datsun RediGO 1.0 S,2017,15000,Petrol,Individual,Manual,First Owner,250000
Maruti Ignis 1.2 AMT Alpha BSIV,2018,25000,Petrol,Individual,Automatic,First Owner,700000
Tata Nexon 1.5 Revotorq XM,2019,25000,Diesel,Individual,Manual,First Owner,800000
Mahindra XUV500 W6 2WD,2013,69000,Diesel,Individual,Manual,First Owner,660000
Maruti Swift VDI BSIV,2015,60000,Diesel,Individual,Manual,Third Owner,465000
Mahindra Scorpio 2.6 CRDe,2006,222435,Diesel,Individual,Manual,Second Owner,180000
Maruti Swift Dzire VDI,2017,66000,Diesel,Individual,Manual,Third Owner,600000
Ford Fiesta 1.4 ZXi Duratec,2010,110000,Petrol,Individual,Manual,First Owner,150000
Hyundai Verna 1.6 SX,2014,78000,Diesel,Individual,Manual,Second Owner,450000
Hyundai Elite i20 Sportz Plus BSIV,2019,10000,Petrol,Individual,Manual,First Owner,721000
Maruti Swift 1.2 DLX,2018,35000,Petrol,Individual,Manual,First Owner,300000
Mahindra Scorpio BSIV,2019,10000,Diesel,Individual,Manual,First Owner,1000000
Renault KWID RXT,2016,40000,Petrol,Individual,Manual,First Owner,300000
Mahindra Scorpio LX,2013,120000,Diesel,Individual,Manual,First Owner,450000
Maruti Esteem AX,1997,70000,Petrol,Individual,Automatic,First Owner,79000
Ford Figo 1.5D Trend MT,2017,40000,Diesel,Individual,Manual,First Owner,545000
Honda Amaze V Diesel BSIV,2018,20000,Diesel,Individual,Manual,First Owner,844999
Skoda Rapid 1.5 TDI Ambition,2016,93000,Diesel,Individual,Manual,First Owner,700000
Toyota Etios VD,2016,159000,Diesel,Individual,Manual,First Owner,650000
Ford Ecosport 1.5 DV5 MT Titanium,2014,75000,Diesel,Individual,Manual,Second Owner,525000
Ford Fiesta Classic 1.4 SXI Duratorq,2006,101100,Diesel,Individual,Manual,Third Owner,110000
Tata Indica Vista Aqua 1.3 Quadrajet BSIV,2011,66000,Diesel,Individual,Manual,First Owner,180000
Hyundai i10 Era,2012,30000,Petrol,Individual,Manual,Second Owner,280000
Renault KWID 1.0 RXT Optional,2019,10000,Petrol,Individual,Manual,First Owner,400000
Mahindra XUV500 W8 4WD,2012,126000,Diesel,Individual,Manual,Second Owner,625000
Volkswagen Vento 1.5 TDI Highline,2015,70000,Diesel,Individual,Manual,First Owner,535000
Maruti Swift VDI Optional,2017,50000,Diesel,Individual,Manual,First Owner,459999
Mahindra Bolero DI,2010,100000,Diesel,Individual,Manual,First Owner,300000
Honda Civic 1.8 V AT,2007,60000,Petrol,Individual,Automatic,First Owner,280000
Honda Mobilio V i VTEC,2014,70000,Petrol,Individual,Manual,First Owner,500000
Hyundai Creta 1.6 SX,2019,1200,Petrol,Individual,Manual,First Owner,1200000
Renault KWID RXT,2016,40000,Petrol,Individual,Manual,First Owner,300000
Tata Manza ELAN Quadrajet BS IV,2011,80000,Diesel,Individual,Manual,Third Owner,180000
Hyundai i10 Sportz AT,2011,134444,Petrol,Individual,Automatic,Second Owner,180000
Maruti Alto LXi,2009,120000,Petrol,Individual,Manual,Second Owner,78000
Nissan Micra Diesel XV Premium,2011,120000,Diesel,Individual,Manual,First Owner,160000
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2014,238000,Diesel,Individual,Manual,First Owner,600000
Maruti Wagon R LXI Minor,2008,100000,Petrol,Individual,Manual,Second Owner,110000
Mahindra Bolero SLX 4WD BSIII,2011,110000,Diesel,Individual,Manual,Second Owner,450000
Mahindra Scorpio S9 BSIV,2019,35000,Diesel,Individual,Manual,First Owner,1350000
Honda City 1.3 DX,2003,165000,Petrol,Individual,Manual,Second Owner,120000
Honda BR-V i-DTEC VX MT,2018,42000,Diesel,Individual,Manual,First Owner,1040000
Hyundai Grand i10 CRDi Sportz,2014,70000,Diesel,Individual,Manual,Second Owner,390000
Tata Nano Lx BSIII,2011,60000,Petrol,Individual,Manual,Second Owner,65000
Volkswagen Polo Diesel Highline 1.2L,2013,115000,Diesel,Individual,Manual,Third Owner,320000
Volkswagen Ameo 1.5 TDI Highline,2017,70000,Diesel,Individual,Manual,First Owner,720000
Maruti Swift ZXI ABS,2007,80000,Petrol,Individual,Manual,Second Owner,220000
Maruti Wagon R LXI BS IV,2011,65000,Petrol,Dealer,Manual,First Owner,225000
Tata Manza Aura (ABS) Quadrajet BS IV,2010,150000,Diesel,Individual,Manual,Second Owner,200000
Toyota Etios GD,2015,75000,Diesel,Dealer,Manual,Second Owner,434999
Ford Figo Diesel Titanium,2012,63700,Diesel,Individual,Manual,First Owner,300000
Honda Amaze VX i-DTEC,2018,74800,Diesel,Individual,Manual,First Owner,700000
Ford Endeavour 2.5L 4X2 MT,2009,105000,Diesel,Individual,Manual,Second Owner,500000
Renault Duster 85PS Diesel RxE,2016,40000,Diesel,Individual,Manual,First Owner,500000
Maruti Ritz LDi,2016,90000,Diesel,Individual,Manual,Second Owner,400000
Toyota Corolla Altis D-4D J,2015,75000,Diesel,Dealer,Manual,Second Owner,825000
Maruti Swift Dzire VDI,2018,15000,Diesel,Individual,Manual,First Owner,720000
Maruti 800 AC Uniq,2009,30000,Petrol,Individual,Manual,Second Owner,110000
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2014,100000,Diesel,Individual,Manual,Second Owner,600000
Mahindra Scorpio VLX 2WD AT BSIV,2009,155000,Diesel,Individual,Automatic,Third Owner,275000
Land Rover Range Rover Evoque 2.2L Dynamic,2012,149000,Diesel,Individual,Automatic,Second Owner,2349000
Hyundai i20 1.4 Sportz,2017,60000,Diesel,Individual,Manual,First Owner,740000
Maruti Baleno Alpha 1.3,2017,90000,Diesel,Individual,Manual,First Owner,800000
Hyundai Verna CRDi 1.6 SX Option,2019,100000,Diesel,Individual,Manual,First Owner,1100000
BMW X1 sDrive20d,2012,100000,Diesel,Individual,Automatic,Second Owner,750000
Maruti Alto K10 2010-2014 VXI,2012,90000,Petrol,Individual,Manual,Second Owner,200000
Tata Spacio SA 6 Seater,2009,75000,Diesel,Individual,Manual,First Owner,210000
Maruti Swift VDI BSIV,2009,120000,Diesel,Individual,Manual,Second Owner,270000
Toyota Etios 1.4 VXD,2016,90000,Diesel,Individual,Manual,Second Owner,630000
Hyundai Xcent 1.2 Kappa S,2015,55000,Petrol,Individual,Manual,First Owner,375000
Mahindra Xylo D2,2010,70000,Diesel,Individual,Manual,First Owner,300000
Mahindra Bolero Power Plus SLX,2016,95000,Diesel,Individual,Manual,Second Owner,580000
Hyundai Verna 1.4 CRDi,2014,50000,Diesel,Individual,Manual,First Owner,550000
Maruti Ciaz ZDi Plus SHVS,2016,50000,Diesel,Individual,Manual,First Owner,750000
Maruti Omni E MPI STD BS IV,2014,60516,Petrol,Individual,Manual,First Owner,250000
Hyundai Verna 1.6 SX,2012,235000,Diesel,Individual,Manual,Second Owner,434999
Mercedes-Benz E-Class 280 CDI,2007,76731,Diesel,Dealer,Automatic,First Owner,900000
Maruti Swift ZDI,2016,64000,Diesel,Dealer,Manual,First Owner,685000
Maruti Swift VDI BSIV,2014,65000,Diesel,Dealer,Manual,First Owner,540000
Honda City i-VTEC CVT ZX,2018,13000,Petrol,Dealer,Automatic,Test Drive Car,1165000
Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,77000,Diesel,Dealer,Manual,First Owner,610000
Hyundai EON Era,2011,24000,Petrol,Dealer,Manual,First Owner,254999
Nissan Micra Active XV,2014,63840,Petrol,Dealer,Manual,First Owner,280000
Tata Tiago 1.2 Revotron XT,2017,25000,Petrol,Individual,Manual,First Owner,370000
Tata New Safari DICOR 2.2 EX 4x2,2011,76400,Diesel,Individual,Manual,Second Owner,459999
Maruti Zen LX,1998,70000,Petrol,Individual,Manual,Third Owner,42000
Maruti Zen LX,1998,70000,Petrol,Individual,Manual,Third Owner,42000
Fiat Linea Active (Diesel),2011,80000,Diesel,Individual,Manual,Third Owner,190000
Fiat Punto 1.4 Emotion,2010,100000,Petrol,Individual,Manual,Fourth & Above Owner,165000
Ford EcoSport 1.5 Diesel Trend Plus BSIV,2017,40000,Diesel,Individual,Manual,First Owner,710000
Hyundai Creta 1.6 SX Option,2018,15000,Petrol,Individual,Manual,First Owner,1200000
Maruti Zen Estilo LXI BS IV,2011,70000,Petrol,Individual,Manual,First Owner,229999
Renault KWID RXT,2018,15000,Petrol,Individual,Manual,First Owner,310000
Maruti Wagon R VXI BS IV,2015,40000,Petrol,Individual,Manual,First Owner,320000
Maruti 800 AC,2006,54000,Petrol,Individual,Manual,First Owner,100000
Hyundai Verna CRDi,2009,90000,Diesel,Individual,Manual,First Owner,160000
Maruti 800 AC BSIII,2007,52000,Petrol,Individual,Manual,First Owner,60000
Tata Indigo LS,2012,200000,Diesel,Individual,Manual,Third Owner,100000
Chevrolet Beat Diesel LT,2016,35000,Diesel,Individual,Manual,Second Owner,350000
Renault Duster 110PS Diesel RxZ AWD,2017,60000,Diesel,Individual,Manual,First Owner,700000
Maruti Alto K10 VXI,2017,31489,Petrol,Individual,Manual,First Owner,300000
Hyundai i20 1.4 Asta Option,2018,40000,Diesel,Individual,Manual,First Owner,830000
Mahindra Quanto C6,2013,110000,Diesel,Individual,Manual,First Owner,220000
Tata Indigo LX Dicor,2009,50000,Diesel,Individual,Manual,First Owner,130000
Hyundai i20 1.2 Magna,2012,44000,Petrol,Individual,Manual,First Owner,330000
Honda City 1.5 S MT,2010,90000,Petrol,Individual,Manual,Second Owner,254999
Hyundai Verna 1.6 SX VTVT (O),2014,50000,Petrol,Individual,Manual,Second Owner,600000
Hyundai i10 Magna,2012,50000,Petrol,Individual,Manual,First Owner,210000
Maruti Zen Estilo 1.1 LXI BSIII,2007,81366,Petrol,Individual,Manual,First Owner,120000
Maruti Esteem Vxi - BSIII,2006,110000,Petrol,Individual,Manual,First Owner,95000
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2006,300000,Diesel,Individual,Manual,First Owner,229999
Hyundai Verna Transform VTVT,2010,70000,Petrol,Individual,Manual,First Owner,229999
Hyundai i20 Magna Optional 1.4 CRDi,2013,100000,Diesel,Individual,Manual,First Owner,400000
Maruti Gypsy King Hard Top Ambulance BSIV,2005,70000,Petrol,Individual,Manual,Second Owner,300000
Ford Figo Diesel Celebration Edition,2013,50000,Diesel,Individual,Manual,First Owner,300000
Ford Fiesta 1.4 SXi TDCi,2009,180000,Diesel,Individual,Manual,Second Owner,80000
Maruti 800 AC,2008,50000,Petrol,Individual,Manual,Second Owner,80000
Maruti Esteem Vxi,2007,90000,Petrol,Individual,Manual,Second Owner,100000
Tata Indica Vista Quadrajet LS,2012,110000,Diesel,Individual,Manual,First Owner,300000
Maruti Baleno Zeta Automatic,2018,26000,Petrol,Individual,Automatic,First Owner,700000
Maruti Vitara Brezza ZDi Plus,2016,65000,Diesel,Individual,Manual,First Owner,975000
Chevrolet Captiva LT,2009,130000,Diesel,Individual,Manual,First Owner,500000
Renault Duster 85PS Diesel RxL Optional,2013,75000,Diesel,Individual,Manual,Second Owner,550000
Nissan Terrano XV Premium 110 PS,2014,110000,Diesel,Individual,Manual,Second Owner,550000
Maruti Alto K10 2010-2014 VXI,2014,50000,Petrol,Individual,Manual,First Owner,240000
Maruti 800 Std,1997,80000,Petrol,Individual,Manual,Second Owner,50000
Tata Indica Vista Aura 1.2 Safire,2009,80000,Petrol,Individual,Manual,Second Owner,120000
Maruti Alto 800 LXI,2013,60000,Petrol,Individual,Manual,Second Owner,900000
Honda City 1.5 V MT,2009,90000,Petrol,Individual,Manual,Second Owner,250000
Renault KWID 1.0 RXT Optional,2017,36000,Petrol,Individual,Manual,First Owner,280000
Tata Indica Vista Terra Quadrajet 1.3L BS IV,2010,87000,Diesel,Individual,Manual,First Owner,85000
Tata Indica Vista Terra 1.4 TDI,2011,80000,Diesel,Individual,Manual,First Owner,90000
Chevrolet Enjoy TCDi LT 8 Seater,2015,50000,Diesel,Individual,Manual,First Owner,500000
Maruti 800 Std,2013,60000,Petrol,Individual,Manual,First Owner,200000
Renault KWID RXT,2015,50000,Petrol,Individual,Manual,First Owner,250000
Maruti Swift Dzire VDI,2014,40000,Diesel,Individual,Manual,Third Owner,185000
Hyundai i10 Magna 1.1,2008,60000,Petrol,Individual,Manual,Second Owner,100000
Toyota Etios VXD,2015,55000,Diesel,Individual,Manual,First Owner,610000
Mahindra Quanto C8,2012,80000,Diesel,Individual,Manual,First Owner,290000
Mahindra Xylo E9,2012,295000,Diesel,Individual,Manual,First Owner,300000
Hyundai EON Era Plus,2015,80000,Petrol,Individual,Manual,First Owner,225000
Maruti Alto K10 VXI,2017,50000,Petrol,Individual,Manual,Second Owner,320000
Tata Indigo CR4,2012,158000,Diesel,Individual,Manual,Third Owner,135000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2006,400000,Diesel,Individual,Manual,Third Owner,400000
Maruti Wagon R VXI BS IV,2016,25000,Petrol,Individual,Manual,First Owner,400000
Hyundai i20 Active 1.2 S,2017,35000,Petrol,Individual,Manual,First Owner,570000
Maruti Ignis 1.2 Zeta BSIV,2018,12000,Petrol,Individual,Manual,First Owner,500000
Maruti Omni MPI STD BSIV,2015,70000,Petrol,Individual,Manual,First Owner,130000
Tata Tiago 1.2 Revotron XZ,2018,4000,Petrol,Individual,Manual,First Owner,360000
Ford Figo Aspire 1.2 Ti-VCT Trend,2017,10832,Petrol,Dealer,Manual,First Owner,530000
Hyundai i10 Era,2009,50000,Petrol,Individual,Manual,First Owner,250000
Nissan Sunny XL,2016,19495,Petrol,Dealer,Manual,First Owner,600000
Renault Duster 85PS Diesel RxL Plus,2013,62668,Diesel,Dealer,Manual,First Owner,570000
Mahindra XUV500 W6 2WD,2013,85710,Diesel,Dealer,Manual,First Owner,850000
Ford Figo Diesel EXI,2011,55130,Diesel,Dealer,Manual,Second Owner,250000
Ford Ecosport 1.5 DV5 MT Titanium,2014,63356,Diesel,Dealer,Manual,Second Owner,580000
Toyota Fortuner 3.0 Diesel,2012,129627,Diesel,Dealer,Manual,First Owner,1680000
Chevrolet Spark 1.0 LT,2010,15000,Petrol,Individual,Manual,First Owner,180000
Tata Tiago 1.2 Revotron XE,2017,50000,Petrol,Individual,Manual,First Owner,300000
Toyota Etios Liva VX,2012,70000,Petrol,Individual,Manual,Second Owner,269000
Maruti Alto K10 VXI,2018,20000,Petrol,Individual,Manual,First Owner,231999
Chevrolet Beat LS,2011,60000,Petrol,Individual,Manual,Third Owner,150000
Hyundai Grand i10 Asta Option,2017,5000,Petrol,Individual,Manual,First Owner,495000
Maruti Ciaz VXi,2014,15000,Petrol,Individual,Manual,First Owner,700000
Datsun GO Plus T BSIV,2018,4400,Petrol,Individual,Manual,Second Owner,400000
Mahindra Xylo H4,2019,15000,Diesel,Individual,Manual,Third Owner,599000
Renault Duster 85PS Diesel RxL Optional,2013,45000,Diesel,Individual,Manual,First Owner,421000
Ford EcoSport 1.5 Diesel Trend BSIV,2018,1000,Diesel,Individual,Manual,First Owner,841000
Hyundai i10 Magna 1.1L,2014,38500,Petrol,Individual,Manual,First Owner,295000
Hyundai i10 Sportz,2011,25000,Petrol,Individual,Manual,First Owner,220000
Ford Classic 1.4 Duratorq LXI,2013,35000,Diesel,Individual,Manual,First Owner,250000
Toyota Fortuner 3.0 Diesel,2009,110000,Diesel,Individual,Manual,Second Owner,1100000
Hyundai Verna 1.6 VTVT,2012,40000,Petrol,Individual,Manual,First Owner,300000
Chevrolet Aveo U-VA 1.2,2007,110000,Petrol,Individual,Manual,Second Owner,80000
Chevrolet Beat Diesel LT,2013,20000,Diesel,Individual,Manual,Third Owner,215000
Hyundai EON Magna Plus,2012,14987,Petrol,Dealer,Manual,First Owner,245000
Ford EcoSport 1.5 TDCi Titanium BSIV,2016,25061,Diesel,Dealer,Manual,First Owner,650000
Ford Ecosport 1.5 Diesel Titanium,2017,42494,Diesel,Dealer,Manual,First Owner,760000
Honda Amaze S i-Dtech,2014,44875,Diesel,Dealer,Manual,First Owner,395000
Ford Figo Diesel EXI,2014,89741,Diesel,Dealer,Manual,Second Owner,280000
Honda Jazz 1.5 S i DTEC,2016,65000,Diesel,Dealer,Manual,First Owner,495000
Honda Jazz 1.5 VX i DTEC,2016,35000,Diesel,Dealer,Manual,First Owner,525000
Toyota Innova 2.5 GX 8 STR BSIV,2009,347089,Diesel,Dealer,Manual,First Owner,420000
Tata New Safari DICOR 2.2 VX 4x2,2010,34500,Diesel,Individual,Manual,First Owner,210000
Hyundai i20 Active 1.2 S,2018,30000,Petrol,Individual,Manual,First Owner,650000
BMW 3 Series 320d Luxury Line,2018,39000,Diesel,Individual,Automatic,First Owner,2300000
Ford Freestyle Titanium Plus Diesel BSIV,2019,16000,Diesel,Individual,Manual,First Owner,525000
Maruti Wagon R LXI CNG,2010,80000,CNG,Individual,Manual,Second Owner,195000
Maruti Ertiga SHVS VDI,2016,60000,Diesel,Individual,Manual,First Owner,650000
Mahindra TUV 300 T6 Plus,2015,110000,Diesel,Individual,Manual,First Owner,540000
Maruti Alto 800 LXI,2014,61000,Petrol,Individual,Manual,First Owner,180000
Mahindra Bolero Power Plus ZLX,2017,29000,Diesel,Individual,Manual,First Owner,750000
Maruti Ertiga SHVS ZDI Plus,2018,50000,Diesel,Individual,Manual,First Owner,980000
Fiat Grande Punto EVO 90HP 1.3 Sport,2014,90000,Diesel,Individual,Manual,First Owner,250000
Hyundai Grand i10 1.2 Kappa Sportz AT,2018,35000,Petrol,Individual,Automatic,First Owner,550000
Volkswagen Vento 1.6 Highline,2015,43000,Petrol,Individual,Manual,Second Owner,509999
Maruti Alto K10 LXI,2017,50000,Petrol,Individual,Manual,First Owner,320000
Hyundai EON D Lite,2016,25000,Petrol,Individual,Manual,First Owner,275000
Mahindra XUV500 W8 2WD,2013,222252,Diesel,Individual,Manual,First Owner,550000
Maruti Wagon R VXI Minor,2009,50000,Petrol,Individual,Manual,Second Owner,145000
Fiat Grande Punto Emotion 90Hp,2013,80000,Diesel,Individual,Manual,First Owner,250000
Hyundai Verna 1.6 SX,2012,35000,Diesel,Individual,Manual,First Owner,520000
Maruti Alto LXi,2007,85000,Petrol,Individual,Manual,Second Owner,95000
Toyota Innova 2.5 V Diesel 7-seater,2011,110000,Diesel,Individual,Manual,Third Owner,725000
Maruti 800 AC,2006,70000,Petrol,Individual,Manual,Second Owner,55000
Honda City i DTEC VX,2014,100000,Diesel,Individual,Manual,First Owner,600000
Volkswagen Vento New Diesel Highline,2013,120000,Diesel,Individual,Manual,Second Owner,330000
Maruti Swift Dzire VDI,2015,89000,Diesel,Individual,Manual,First Owner,470000
Maruti Swift ZDi,2013,120000,Diesel,Individual,Manual,First Owner,365000
Hyundai EON Magna Plus,2013,40000,Petrol,Individual,Manual,Second Owner,250000
Maruti Wagon R VXI BS IV,2017,17000,Petrol,Individual,Manual,First Owner,430000
Maruti Swift VDI,2013,125000,Diesel,Individual,Manual,Second Owner,400000
Maruti Swift Dzire ZXI,2015,110000,Petrol,Individual,Manual,Second Owner,615000
Ford Figo Diesel Titanium,2011,120000,Diesel,Individual,Manual,Second Owner,150000
Ford Figo Diesel ZXI,2014,90000,Diesel,Individual,Manual,First Owner,240000
Mahindra Scorpio S10 7 Seater,2014,90000,Diesel,Individual,Manual,First Owner,800000
Hyundai EON LPG Magna Plus,2015,110000,LPG,Individual,Manual,First Owner,240000
Ford Ecosport 1.5 DV5 MT Titanium,2014,87000,Diesel,Individual,Manual,Second Owner,600000
Mahindra Scorpio LX,2014,15000,Diesel,Individual,Manual,First Owner,800000
Hyundai EON 1.0 Kappa Magna Plus,2015,70000,Petrol,Individual,Manual,First Owner,160000
Ford Fiesta Classic 1.6 Duratec CLXI,2012,38000,Petrol,Individual,Manual,First Owner,350000
Honda City 1.5 V MT,2011,64000,Petrol,Individual,Manual,Second Owner,300000
Tata Sumo Gold EX BSIII,2015,55250,Diesel,Individual,Manual,First Owner,399000
Mahindra Bolero DI,2011,110000,Diesel,Individual,Manual,First Owner,300000
Maruti A-Star AT VXI,2012,70000,Petrol,Individual,Automatic,First Owner,150000
Chevrolet Cruze LTZ,2010,60000,Diesel,Individual,Manual,Third Owner,320000
Tata Hexa XM,2018,17000,Diesel,Individual,Manual,First Owner,1280000
Renault KWID 1.0 RXT Optional,2017,13000,Petrol,Individual,Manual,Second Owner,300000
Nissan Terrano XL Plus ICC WT20 SE,2016,60000,Diesel,Individual,Manual,First Owner,1000000
Mitsubishi Pajero Sport 4X4,2012,120000,Diesel,Individual,Manual,Second Owner,1090000
Tata New Safari DICOR 2.2 GX 4x2 BS IV,2012,97000,Diesel,Individual,Manual,Second Owner,450000
Tata Indica GLS BS IV,2007,130000,Petrol,Individual,Manual,Second Owner,60000
Maruti Swift Dzire ZXI,2013,50000,Petrol,Individual,Manual,First Owner,500000
Tata Indigo CR4,2012,120000,Diesel,Individual,Manual,Second Owner,200000
Ford Ecosport 1.5 DV5 MT Titanium,2015,68000,Diesel,Individual,Manual,First Owner,650000
Maruti Alto LXi,2006,100000,Petrol,Individual,Manual,Second Owner,60000
Maruti Ertiga VDI,2013,80000,Diesel,Individual,Manual,First Owner,250999
Hyundai Accent Executive CNG,2012,67000,CNG,Dealer,Manual,Second Owner,185000
Maruti Alto K10 VXI,2015,60000,Petrol,Individual,Manual,First Owner,155000
Maruti Swift VXI,2019,5000,Petrol,Individual,Manual,First Owner,600000
Renault KWID RXE,2016,20000,Petrol,Individual,Manual,First Owner,300000
Hyundai Creta 1.6 E Plus,2018,12500,Petrol,Individual,Manual,First Owner,850000
Maruti Eeco CNG 5 Seater AC BSIV,2019,4000,CNG,Individual,Manual,First Owner,470000
Ford Figo 1.2P Titanium MT,2019,25000,Petrol,Individual,Manual,First Owner,600000
Toyota Innova 2.5 G (Diesel) 7 Seater,2013,70000,Diesel,Individual,Manual,Second Owner,700000
